,Brands,Ton,Star,Type,Color,Condenser_Coil,Noise(dB),Noise(dB)_Range,Power_Consumption(kWh),Power_Range(kWh),Refrigerant,Wi_Fi Enabled,Product_Warranty(Years),PCB_Warranty(Years),Compressor_Warranty(Years),Condenser_Warranty(Years),ODU_Casing_Warranty(Years),Ratings_Count,Reviews_Count,Avg_star,Avg_star_Range,Offer_Price(₹),Offer_Price_Range(₹),Actual_Price(₹),Act_Price_Range(₹),Discount(%),Merged,Types
45,Hitachi,1.0,3,Window,White,Copper,50.0,"(45, 50]",1474.0,"(1000,1500]",R32A,No,1,1,5,1,1,1280.0,139.0,4.0,"(3.5,4.0]",23990.0,"(20000,25000]",25190.0,"(25000,30000]",5.0,Hitachi 1.0 Ton 3.0 Star,Window
46,Whirlpool,1.5,3,Split,"White, Grey",Copper,36.0,"(35, 40]",2256.0,"(2000,2500]",R32A,No,1,1,5,1,1,7252.0,805.0,4.1,"(4.0,4.5]",31690.0,"(30000,35000]",44400.0,"(40000,45000]",29.0,Whirlpool 1.5 Ton 3.0 Star,Split
47,Blue Star,1.0,5,Split Inverter,White,Copper,44.0,"(40, 45]",1528.0,"(1500,2000]",R38,No,1,1,1,1,1,219.0,20.0,3.8,"(3.5,4.0]",35990.0,"(35000,40000]",59500.0,"(55000,60000]",40.0,Blue Star 1.0 Ton 5.0 Star,Split
48,Daikin,1.0,3,Split,White,Copper,37.0,"(35, 40]",1357.0,"(1000,1500]",R32A,No,1,1,5,1,1,158.0,13.0,4.0,"(3.5,4.0]",32099.0,"(30000,35000]",46000.0,"(45000,50000]",30.0,Daikin 1.0 Ton 3.0 Star,Split
49,Blue Star,1.5,3,Window,White,Copper,55.0,"(50, 55]",1208.0,"(1000,1500]",R32A,No,1,1,5,1,1,10.0,2.0,0.0,"(-0.5,0.0]",28490.0,"(25000,30000]",37500.0,"(35000,40000]",24.0,Blue Star 1.5 Ton 3.0 Star,Window
50,Lloyd,1.2,5,Split Inverter,White,Copper,32.0,"(30, 35]",691.0,"(500,1000]",R32A,No,1,1,10,1,1,5.0,0.0,0.0,"(-0.5,0.0]",37499.0,"(35000,40000]",56990.0,"(55000,60000]",34.0,Lloyd 1.2 Ton 5.0 Star,Split
51,Blue Star,1.0,5,Window,White,Copper,55.0,"(50, 55]",1624.0,"(1500,2000]",R32A,No,1,1,5,1,1,25.0,4.0,4.1,"(4.0,4.5]",27990.0,"(25000,30000]",35000.0,"(30000,35000]",20.0,Blue Star 1.0 Ton 5.0 Star,Window
52,Realme,1.5,5,Split Inverter,White,Copper,43.0,"(40, 45]",838.0,"(500,1000]",R32A,No,1,1,10,1,1,119.0,22.0,4.1,"(4.0,4.5]",33490.0,"(30000,35000]",56999.0,"(55000,60000]",41.0,Realme 1.5 Ton 5.0 Star,Split
53,Voltas,2.0,3,Split,White,Copper,44.0,"(40, 45]",3099.0,"(3000,3500]",R32,No,1,1,5,1,1,13113.0,1279.0,4.2,"(4.0,4.5]",42999.0,"(40000,45000]",69990.0,"(65000,70000]",39.0,Voltas 2.0 Ton 3.0 Star,Split
54,Panasonic,1.5,3,Split Inverter,White,Copper,48.0,"(45, 50]",2832.0,"(2500,3000]",R32,No,1,4,9,1,1,917.0,110.0,4.2,"(4.0,4.5]",35990.0,"(35000,40000]",54400.0,"(50000,55000]",34.0,Panasonic 1.5 Ton 3.0 Star,Split
55,Lg,1.5,3,Split Dual Inverter,White,Copper,26.0,"(25, 30]",1051.0,"(1000,1500]",R32A,No,1,5,10,1,1,687.0,77.0,4.1,"(4.0,4.5]",37499.0,"(35000,40000]",68990.0,"(65000,70000]",46.0,Lg 1.5 Ton 3.0 Star,Split
56,Panasonic,1.0,3,Split Inverter,White,Copper,45.0,"(40, 45]",1752.0,"(1500,2000]",R32,No,1,4,9,1,1,917.0,110.0,4.2,"(4.0,4.5]",32490.0,"(30000,35000]",47100.0,"(45000,50000]",31.0,Panasonic 1.0 Ton 3.0 Star,Split
57,Hitachi,1.5,5,Window,White,Copper,50.0,"(45, 50]",1815.0,"(1500,2000]",R32A,No,1,1,5,1,1,1280.0,139.0,4.0,"(3.5,4.0]",36299.0,"(35000,40000]",38999.0,"(35000,40000]",7.0,Hitachi 1.5 Ton 5.0 Star,Window
58,Daikin,1.0,5,Split Inverter,White,Copper,42.0,"(40, 45]",1504.0,"(1500,2000]",R32A,No,1,5,10,1,1,576.0,54.0,4.2,"(4.0,4.5]",38999.0,"(35000,40000]",55500.0,"(55000,60000]",30.0,Daikin 1.0 Ton 5.0 Star,Split
59,Lg,1.0,5,Split Dual Inverter,White,Copper,21.0,"(20, 25]",572.0,"(500,1000]",R32,No,1,1,10,1,1,9427.0,1214.0,4.3,"(4.0,4.5]",36990.0,"(35000,40000]",58990.0,"(55000,60000]",37.0,Lg 1.0 Ton 5.0 Star,Split
60,Marq,0.8,3,Split Inverter,White,Copper,40.0,"(35, 40]",579.0,"(500,1000]",R32A,No,1,1,10,1,1,1974.0,278.0,3.9,"(3.5,4.0]",24499.0,"(20000,25000]",45499.0,"(45000,50000]",46.0,Marq 0.8 Ton 3.0 Star,Split
61,Haier,1.25,3,Split Inverter,White,Copper,36.0,"(35, 40]",2104.0,"(2000,2500]",R32,No,1,1,12,1,1,1375.0,183.0,4.1,"(4.0,4.5]",29990.0,"(25000,30000]",57000.0,"(55000,60000]",47.0,Haier 1.25 Ton 3.0 Star,Split
62,Voltas,1.5,3,Split,White,Copper,47.0,"(45, 50]",2320.0,"(2000,2500]",R32,No,1,1,5,1,1,13113.0,1279.0,4.2,"(4.0,4.5]",33999.0,"(30000,35000]",51990.0,"(50000,55000]",35.0,Voltas 1.5 Ton 3.0 Star,Split
63,Voltas,1.0,3,Split,White,Copper,59.0,"(55, 60]",2752.0,"(2500,3000]",R32,No,1,1,5,1,1,29.0,2.0,3.7,"(3.5,4.0]",29990.0,"(25000,30000]",49490.0,"(45000,50000]",39.0,Voltas 1.0 Ton 3.0 Star,Split
64,Lloyd,1.0,3,Split,White,Copper,40.0,"(35, 40]",735.0,"(500,1000]",R32A,No,1,1,5,1,1,31.0,2.0,3.9,"(3.5,4.0]",27999.0,"(25000,30000]",41990.0,"(40000,45000]",33.0,Lloyd 1.0 Ton 3.0 Star,Split
65,Marq,1.2,3,Split Inverter,White,Copper,40.0,"(35, 40]",842.0,"(500,1000]",R32A,No,1,1,10,1,1,1974.0,278.0,3.9,"(3.5,4.0]",26499.0,"(25000,30000]",47499.0,"(45000,50000]",44.0,Marq 1.2 Ton 3.0 Star,Split
66,Lloyd,1.0,3,Window,White,Copper,52.0,"(50, 55]",809.0,"(500,1000]",R32A,No,1,1,5,1,1,14.0,0.0,4.5,"(4.0,4.5]",23999.0,"(20000,25000]",33990.0,"(30000,35000]",29.0,Lloyd 1.0 Ton 3.0 Star,Window
67,Daikin,1.5,3,Split Inverter,White,Copper,35.0,"(30, 35]",2803.0,"(2500,3000]",R32,No,1,1,5,1,1,2367.0,222.0,4.2,"(4.0,4.5]",35490.0,"(35000,40000]",50300.0,"(50000,55000]",29.0,Daikin 1.5 Ton 3.0 Star,Split
68,Thomson,1.5,3,Split Inverter,White,Copper,49.0,"(45, 50]",2624.0,"(2500,3000]",R32,No,1,1,10,1,1,116.0,26.0,4.2,"(4.0,4.5]",30999.0,"(30000,35000]",43998.0,"(40000,45000]",30.0,Thomson 1.5 Ton 3.0 Star,Split
69,Lloyd,1.2,3,Split Inverter,White,Copper,32.0,"(30, 35]",918.0,"(500,1000]",R32A,No,1,1,10,1,1,5.0,0.0,2.2,"(2.0,2.5]",31499.0,"(30000,35000]",51990.0,"(50000,55000]",39.0,Lloyd 1.2 Ton 3.0 Star,Split
70,Haier,0.9,3,Split,White,Copper,26.0,"(25, 30]",1126.0,"(1000,1500]",R32,No,1,1,6,1,1,14.0,1.0,4.1,"(4.0,4.5]",24990.0,"(20000,25000]",50990.0,"(50000,55000]",51.0,Haier 0.9 Ton 3.0 Star,Split
71,Midea,1.0,3,Split,White,Copper,32.0,"(30, 35]",1568.0,"(1500,2000]",R32A,No,1,1,10,1,1,5.0,0.0,0.0,"(-0.5,0.0]",26999.0,"(25000,30000]",46590.0,"(45000,50000]",42.0,Midea 1.0 Ton 3.0 Star,Split
72,Lloyd,1.0,3,Split,White,Copper,40.0,"(35, 40]",743.0,"(500,1000]",R32A,No,1,1,5,1,1,788.0,68.0,4.1,"(4.0,4.5]",26500.0,"(25000,30000]",41990.0,"(40000,45000]",37.0,Lloyd 1.0 Ton 3.0 Star,Split
73,Carrier,2.0,5,Split Inverter,White,Copper,38.0,"(35, 40]",2848.0,"(2500,3000]",R32,No,1,2,10,1,1,6413.0,795.0,4.3,"(4.0,4.5]",51999.0,"(50000,55000]",74990.0,"(70000,75000]",31.0,Carrier 2.0 Ton 5.0 Star,Split
74,Voltas,1.5,3,Window,White,Copper,54.0,"(50, 55]",2638.0,"(2500,3000]",R22,No,1,1,4,1,1,2478.0,307.0,4.3,"(4.0,4.5]",28999.0,"(25000,30000]",34490.0,"(30000,35000]",16.0,Voltas 1.5 Ton 3.0 Star,Window
75,Onida,1.5,3,Split Dual Inverter,White,Copper,45.0,"(40, 45]",2912.0,"(2500,3000]",R32A,No,1,1,5,1,1,5081.0,601.0,4.3,"(4.0,4.5]",31499.0,"(30000,35000]",53490.0,"(50000,55000]",41.0,Onida 1.5 Ton 3.0 Star,Split
76,Voltas,1.6,3,Split Inverter,White,Copper,46.0,"(45, 50]",3008.0,"(3000,3500]",R32,No,1,1,5,1,1,12993.0,1330.0,4.3,"(4.0,4.5]",36999.0,"(35000,40000]",65990.0,"(65000,70000]",44.0,Voltas 1.6 Ton 3.0 Star,Split
77,Lg,1.5,5,Split Dual Inverter,White,Copper,31.0,"(30, 35]",819.0,"(500,1000]",R32,No,1,5,10,1,1,4.0,0.0,3.5,"(3.0,3.5]",43990.0,"(40000,45000]",75990.0,"(75000,80000]",42.0,Lg 1.5 Ton 5.0 Star,Split
78,Samsung,1.5,5,Split Inverter,White,Copper,45.0,"(40, 45]",2160.0,"(2000,2500]",R32,No,1,1,1,1,1,44.0,5.0,4.4,"(4.0,4.5]",44990.0,"(40000,45000]",70990.0,"(70000,75000]",37.0,Samsung 1.5 Ton 5.0 Star,Split
79,Lg,1.0,3,Split Dual Inverter,White,Copper,21.0,"(20, 25]",681.0,"(500,1000]",R32A,No,1,5,10,1,1,687.0,77.0,4.1,"(4.0,4.5]",34490.0,"(30000,35000]",59990.0,"(55000,60000]",43.0,Lg 1.0 Ton 3.0 Star,Split
80,Godrej,1.0,3,Split Inverter,White,Copper,40.0,"(35, 40]",753.0,"(500,1000]",R32A,No,1,1,10,1,1,21.0,2.0,4.4,"(4.0,4.5]",27999.0,"(25000,30000]",42900.0,"(40000,45000]",35.0,Godrej 1.0 Ton 3.0 Star,Split
81,Voltas,1.2,3,Split Inverter,White,Copper,44.0,"(40, 45]",2288.0,"(2000,2500]",R32,No,1,1,5,1,1,7932.0,969.0,4.2,"(4.0,4.5]",30999.0,"(30000,35000]",54990.0,"(50000,55000]",44.0,Voltas 1.2 Ton 3.0 Star,Split
82,Lloyd,1.5,5,Split Inverter,White,Copper,35.0,"(30, 35]",865.0,"(500,1000]",R32,No,1,1,10,1,1,5.0,0.0,4.4,"(4.0,4.5]",38499.0,"(35000,40000]",61990.0,"(60000,65000]",38.0,Lloyd 1.5 Ton 5.0 Star,Split
83,Panasonic,1.0,3,Split Inverter,White,Copper,45.0,"(40, 45]",731.0,"(500,1000]",R32,No,1,4,9,1,1,917.0,110.0,4.2,"(4.0,4.5]",31990.0,"(30000,35000]",42200.0,"(40000,45000]",24.0,Panasonic 1.0 Ton 3.0 Star,Split
84,Lloyd,1.5,3,Split Inverter,White,Copper,42.0,"(40, 45]",1030.0,"(1000,1500]",R32,No,1,1,10,1,1,1516.0,149.0,4.3,"(4.0,4.5]",36399.0,"(35000,40000]",58990.0,"(55000,60000]",38.0,Lloyd 1.5 Ton 3.0 Star,Split
85,Whirlpool,1.5,5,Split Inverter,White,Copper,35.0,"(30, 35]",1472.0,"(1000,1500]",R32A,No,1,1,10,1,1,128.0,14.0,4.1,"(4.0,4.5]",36580.0,"(35000,40000]",62434.0,"(60000,65000]",41.0,Whirlpool 1.5 Ton 5.0 Star,Split
86,Lg,1.0,3,Split Dual Inverter,White,Copper,21.0,"(20, 25]",681.0,"(500,1000]",R32A,No,1,5,10,1,1,26.0,3.0,4.5,"(4.0,4.5]",33990.0,"(30000,35000]",57990.0,"(55000,60000]",41.0,Lg 1.0 Ton 3.0 Star,Split
87,Lloyd,1.5,4,Window,White,Copper,54.0,"(50, 55]",1181.0,"(1000,1500]",R32A,No,1,1,5,1,1,62.0,6.0,4.0,"(3.5,4.0]",28499.0,"(25000,30000]",38990.0,"(35000,40000]",27.0,Lloyd 1.5 Ton 4.0 Star,Window
88,Samsung,1.5,3,Split Inverter,"White, Purple",Copper,45.0,"(40, 45]",2720.0,"(2500,3000]",R32,No,1,1,10,1,1,3.0,0.0,4.7,"(4.5,5.0]",34999.0,"(30000,35000]",57990.0,"(55000,60000]",40.0,Samsung 1.5 Ton 3.0 Star,Split
89,Thomson,1.0,3,Split,White,Copper,48.0,"(45, 50]",1510.0,"(1500,2000]",R32,No,1,1,10,1,1,11.0,2.0,4.5,"(4.0,4.5]",26490.0,"(25000,30000]",37998.0,"(35000,40000]",30.0,Thomson 1.0 Ton 3.0 Star,Split
90,Samsung,2.0,4,Split Inverter,White,Copper,45.0,"(40, 45]",2912.0,"(2500,3000]",R32A,No,1,1,10,1,1,19774.0,2004.0,4.2,"(4.0,4.5]",46990.0,"(45000,50000]",77990.0,"(75000,80000]",40.0,Samsung 2.0 Ton 4.0 Star,Split
91,Hitachi,1.0,3,Split Inverter,White,Copper,36.0,"(35, 40]",689.0,"(500,1000]",R32A,No,1,1,10,1,1,6.0,0.0,0.0,"(-0.5,0.0]",31990.0,"(30000,35000]",49999.0,"(45000,50000]",36.0,Hitachi 1.0 Ton 3.0 Star,Split
