,Brands,Ton,Star,Type,Condenser_Coil,Refrigerant,Power_Consumption(kWh),Power_Range(kWh),Offer_Price_Range(₹),Offer_Price(₹)
257,Whirlpool,1.5,3,Split Inverter,Copper,R32A,2656.0,"(2500,3000]","(30000,35000]",32444.0
258,Whirlpool,1.5,3,Split,Copper,R32A,2656.0,"(2500,3000]","(30000,35000]",33599.0
259,Whirlpool,1.5,3,Split Dual Inverter,Copper,R32A,2656.0,"(2500,3000]","(35000,40000]",36489.0
260,Panasonic,1.5,3,Split,Copper,R32,2656.0,"(2500,3000]","(35000,40000]",36599.0
261,Panasonic,1.5,3,Split Inverter,Copper,R32,2656.0,"(2500,3000]","(35000,40000]",39750.0
262,Toshiba,1.5,3,Split Inverter,Copper,R32,2656.0,"(2500,3000]","(40000,45000]",40500.0
263,Blue Star,1.5,3,Split Inverter,Copper,R32A,2661.0,"(2500,3000]","(35000,40000]",38352.0
264,Daikin,1.5,3,Split Inverter,Copper,R32,2664.0,"(2500,3000]","(35000,40000]",37999.0
265,Daikin,1.5,3,Split Inverter,Copper,R32,2672.0,"(2500,3000]","(35000,40000]",36900.0
266,Lloyd,1.5,3,Window,Copper,R221,2682.0,"(2500,3000]","(25000,30000]",28899.0
267,Intex,1.5,3,Window,Copper,R22,2688.0,"(2500,3000]","(20000,25000]",23500.0
268,Voltas,1.5,3,Split Inverter,Copper,R32,2696.0,"(2500,3000]","(30000,35000]",34999.0
269,Voltas,1.5,3,Split Inverter,Copper,R32A,2704.0,"(2500,3000]","(30000,35000]",32999.0
270,Carrier,1.5,3,Window,Copper,R32,2720.0,"(2500,3000]","(25000,30000]",25999.0
271,Lloyd,1.5,3,Window,Copper,R32,2720.0,"(2500,3000]","(25000,30000]",29990.0
272,Samsung,1.5,3,Split Inverter,Copper,R32,2720.0,"(2500,3000]","(30000,35000]",33749.0
273,Carrier,1.5,3,Window,Copper,R32A,2720.0,"(2500,3000]","(30000,35000]",33950.0
274,Samsung,1.5,3,Split Inverter,Copper,R32A,2720.0,"(2500,3000]","(30000,35000]",34499.0
275,Lloyd,1.5,3,Split,Copper,R32,2720.0,"(2500,3000]","(35000,40000]",35500.0
276,Samsung,1.5,3,Split Inverter,Copper,R32,2720.0,"(2500,3000]","(35000,40000]",35744.0
277,Carrier,1.5,3,Split Inverter,Copper,R32A,2720.0,"(2500,3000]","(35000,40000]",38500.0
278,Daikin,1.5,3,Split Inverter,Copper,R32,2728.0,"(2500,3000]","(45000,50000]",45990.0
279,Lloyd,1.5,3,Split Inverter,Copper,R32,2752.0,"(2500,3000]","(35000,40000]",36890.0
280,Voltas,1.5,3,Window,Copper,R32,2766.0,"(2500,3000]","(25000,30000]",27499.0
281,Blue Star,1.5,3,Window,Copper,R22A,2768.0,"(2500,3000]","(25000,30000]",28499.0
282,Hitachi,1.5,3,Split Inverter,Copper,R410A,2768.0,"(2500,3000]","(30000,35000]",34999.0
283,Blue Star,1.5,3,Window,Copper,R32A,2771.0,"(2500,3000]","(30000,35000]",30999.0
284,Onida,1.5,3,Split Inverter,Copper,R32A,2784.0,"(2500,3000]","(30000,35000]",30990.0
285,Croma,1.5,3,Split Inverter,Copper,R32,2784.0,"(2500,3000]","(35000,40000]",35990.0
286,Daikin,1.5,3,Split Inverter,Copper,R32,2784.0,"(2500,3000]","(35000,40000]",36900.0
287,Lg,1.5,3,Split Dual Inverter,Copper,R32,2784.0,"(2500,3000]","(40000,45000]",43750.0
288,Samsung,1.5,3,Split Inverter,Copper,R32,2797.0,"(2500,3000]","(35000,40000]",36999.0
289,Godrej,1.5,3,Split Inverter,Copper,R32,2800.0,"(2500,3000]","(30000,35000]",31999.0
290,Carrier,1.5,3,Split Inverter,Copper,R32A,2800.0,"(2500,3000]","(35000,40000]",35999.0
291,Blue Star,1.5,3,Split Inverter,Copper,R32,2800.0,"(2500,3000]","(35000,40000]",38440.0
292,Carrier,1.5,3,Split Inverter,Copper,R32,2800.0,"(2500,3000]","(40000,45000]",40990.0
293,Daikin,1.5,3,Split Inverter,Copper,R32,2803.0,"(2500,3000]","(35000,40000]",36644.0
294,Blue Star,1.5,3,Split,Copper,R32A,2816.0,"(2500,3000]","(35000,40000]",36399.0
295,Voltas,1.5,3,Split Inverter,Copper,R410A,2816.0,"(2500,3000]","(35000,40000]",38990.0
296,Panasonic,1.5,3,Split Inverter,Copper,R32,2832.0,"(2500,3000]","(35000,40000]",36490.0
297,Whirlpool,1.5,3,Split Inverter,Copper,R32A,2837.0,"(2500,3000]","(30000,35000]",33000.0
298,Haier,1.5,3,Split Inverter,Copper,R32,2848.0,"(2500,3000]","(35000,40000]",36845.0
299,Lg,1.5,3,Split Dual Inverter,Copper,R32,2848.0,"(2500,3000]","(40000,45000]",42999.0
300,Godrej,1.5,3,Split Inverter,Copper,R32,2856.0,"(2500,3000]","(30000,35000]",33999.0
301,Tcl,1.5,3,Split Inverter,Copper,R32A,2864.0,"(2500,3000]","(25000,30000]",27999.0
302,Midea,1.5,3,Split Inverter,Copper,R410A,2880.0,"(2500,3000]","(25000,30000]",28990.0
303,Toshiba,1.5,3,Split,Copper,R32,2880.0,"(2500,3000]","(30000,35000]",35000.0
304,Lloyd,1.5,3,Split Inverter,Copper,R410A,2880.0,"(2500,3000]","(35000,40000]",39000.0
305,Onida,1.5,3,Split Dual Inverter,Copper,R32A,2912.0,"(2500,3000]","(30000,35000]",31499.0
306,Godrej,1.5,3,Split Inverter,Copper,R32,2944.0,"(2500,3000]","(30000,35000]",32490.0
307,Lg,1.5,3,Split Inverter,Copper,R410A,2944.0,"(2500,3000]","(40000,45000]",40490.0
308,Samsung,1.5,3,Split,Copper,R32,2976.0,"(2500,3000]","(30000,35000]",34890.0
309,Samsung,1.5,3,Split Inverter,Aluminium,R32,2992.0,"(2500,3000]","(40000,45000]",40500.0
310,Whirlpool,1.5,3,Split Inverter Smart,Copper,R32A,3024.0,"(3000,3500]","(30000,35000]",33990.0
311,Whirlpool,1.5,3,Split Inverter,Copper,R32A,3024.0,"(3000,3500]","(30000,35000]",34990.0
312,Whirlpool,1.5,3,Split Inverter,Copper,R32A,3024.0,"(3000,3500]","(40000,45000]",40500.0
313,Whirlpool,1.5,3,Split Inverter,Copper,R32A,3360.0,"(3000,3500]","(40000,45000]",42000.0
314,Lloyd,1.5,3,Window,Copper,R32,3472.0,"(3000,3500]","(25000,30000]",29899.0
315,Croma,1.5,3,Portable,Copper,R410A,3680.0,"(3500,4000]","(35000,40000]",39990.0
316,Lg,1.5,4,Split Dual Inverter,Copper,R32,921.0,"(500,1000]","(35000,40000]",38990.0
317,Lg,1.5,4,Split Dual Inverter,Copper,R32,921.0,"(500,1000]","(40000,45000]",40881.0
318,Lg,1.5,4,Split Dual Inverter,Copper,R32A,921.0,"(500,1000]","(40000,45000]",42490.0
319,Realme,1.5,4,Split Inverter,Copper,R32A,969.0,"(500,1000]","(30000,35000]",30999.0
320,Haier,1.5,4,Split Inverter,Copper,R32,997.0,"(500,1000]","(35000,40000]",37999.0
321,Lloyd,1.5,4,Window,Copper,R32A,1181.0,"(1000,1500]","(25000,30000]",28499.0
322,Samsung,1.5,4,Split Inverter,Copper,R32,1504.0,"(1500,2000]","(30000,35000]",34990.0
323,Blue Star,1.5,4,Split Inverter,Copper,R32,1564.0,"(1500,2000]","(40000,45000]",40499.0
324,Panasonic,1.5,4,Split Inverter,Copper,R32,1796.0,"(1500,2000]","(40000,45000]",40989.0
325,Samsung,1.5,4,Split Inverter,Copper,R32A,2384.0,"(2000,2500]","(35000,40000]",35999.0
326,Samsung,1.5,4,Split Inverter,Copper,R32,2384.0,"(2000,2500]","(35000,40000]",37475.0
327,Samsung,1.5,4,Split Inverter,Copper,R32,2384.0,"(2000,2500]","(40000,45000]",41794.0
328,Samsung,1.5,4,Split Inverter,Copper,R32,2400.0,"(2000,2500]","(40000,45000]",40200.0
329,Blue Star,1.5,4,Window,Copper,R32A,2416.0,"(2000,2500]","(30000,35000]",32299.0
330,Voltas,1.5,4,Split Inverter,Copper,R32,2432.0,"(2000,2500]","(30000,35000]",34999.0
331,Voltas,1.5,4,Split Inverter,Copper,R32,2432.0,"(2000,2500]","(35000,40000]",35990.0
332,Voltas,1.5,4,Split Inverter,Copper,R32A,2464.0,"(2000,2500]","(35000,40000]",38499.0
333,Carrier,1.5,4,Split Inverter,Copper,R32A,2552.0,"(2500,3000]","(35000,40000]",37999.0
334,Daikin,1.5,4,Split Inverter,Copper,R32,2560.0,"(2500,3000]","(40000,45000]",44690.0
335,Daikin,1.5,4,Split Inverter,Copper,R32,2563.0,"(2500,3000]","(40000,45000]",40999.0
336,Voltas,1.5,4,Split Inverter,Copper,R32A,2576.0,"(2500,3000]","(35000,40000]",36999.0
337,Haier,1.5,4,Split Inverter,Copper,R32,2608.0,"(2500,3000]","(35000,40000]",36499.0
338,Panasonic,1.5,4,Split Inverter,Copper,R32,2656.0,"(2500,3000]","(40000,45000]",42998.0
339,Daikin,1.5,4,Split Inverter,Copper,R32,2672.0,"(2500,3000]","(40000,45000]",40990.0
340,Blue Star,1.5,4,Window Inverter,Copper,R32A,2688.0,"(2500,3000]","(35000,40000]",36800.0
341,Daikin,1.5,4,Split Inverter,Copper,R32,2688.0,"(2500,3000]","(35000,40000]",39700.0
342,Lg,1.5,5,Split Dual Inverter,Copper,R32,640.0,"(500,1000]","(45000,50000]",47599.0
343,Daikin,1.5,5,Split Inverter,Copper,R32,757.0,"(500,1000]","(45000,50000]",45990.0
344,Lg,1.5,5,Split Dual Inverter,Copper,R32,819.0,"(500,1000]","(40000,45000]",44490.0
345,Lg,1.5,5,Split Dual Inverter,Copper,R32A,819.0,"(500,1000]","(45000,50000]",48235.0
346,Lg,1.5,5,Split Dual Inverter,Copper,R32A,819.0,"(500,1000]","(50000,55000]",50990.0
347,Daikin,1.5,5,Split Inverter,Copper,R32,824.0,"(500,1000]","(45000,50000]",45499.0
348,Realme,1.5,5,Split Inverter,Copper,R32A,838.0,"(500,1000]","(30000,35000]",33490.0
349,Godrej,1.5,5,Split Inverter,Copper,R32A,840.0,"(500,1000]","(35000,40000]",39490.0
350,Panasonic,1.5,5,Split Inverter,Copper,R32,841.0,"(500,1000]","(35000,40000]",38690.0
351,Panasonic,1.5,5,Split Inverter,Copper,R32,841.0,"(500,1000]","(40000,45000]",41590.0
352,Ifb,1.5,5,Split Inverter,Copper,R32A,854.0,"(500,1000]","(40000,45000]",43990.0
353,Marq,1.5,5,Split Inverter,Copper,R32A,857.0,"(500,1000]","(30000,35000]",31990.0
354,Lloyd,1.5,5,Split Inverter,Copper,R32,865.0,"(500,1000]","(35000,40000]",38499.0
355,Lloyd,1.5,5,Split Inverter,Copper,R32A,865.0,"(500,1000]","(35000,40000]",38999.0
356,Lloyd,1.5,5,Split Inverter,Copper,R32,865.0,"(500,1000]","(40000,45000]",41900.0
357,Hitachi,1.5,5,Split Inverter,Copper,R32A,898.0,"(500,1000]","(40000,45000]",41999.0
358,Hitachi,1.5,5,Split Inverter,Copper,R32A,898.0,"(500,1000]","(45000,50000]",49990.0
359,Lloyd,1.5,5,Window,Copper,R32A,1115.0,"(1000,1500]","(30000,35000]",30990.0
360,Lloyd,1.5,5,Window Inverter,Copper,R32,1150.0,"(1000,1500]","(35000,40000]",36790.0
361,Lg,1.5,5,Split Dual Inverter,Copper,R32A,1337.0,"(1000,1500]","(45000,50000]",45999.0
362,Panasonic,1.5,5,Split,Copper,R32,1357.0,"(1000,1500]","(40000,45000]",44859.0
363,Panasonic,1.5,5,Split Inverter,Copper,R32,1357.0,"(1000,1500]","(45000,50000]",49990.0
364,Godrej,1.5,5,Split Inverter,Copper,R32A,1385.0,"(1000,1500]","(35000,40000]",39999.0
365,Whirlpool,1.5,5,Split Inverter,Copper,R32A,1472.0,"(1000,1500]","(35000,40000]",36580.0
366,Marq,1.5,5,Split Dual Inverter Smart,Copper,R32,1789.0,"(1500,2000]","(35000,40000]",35500.0
367,Panasonic,1.5,5,Split Inverter,Copper,R32A,1796.0,"(1500,2000]","(40000,45000]",41599.0
368,Daikin,1.5,5,Window,Copper,R32,1813.0,"(1500,2000]","(35000,40000]",35990.0
369,Hitachi,1.5,5,Window,Copper,R32A,1815.0,"(1500,2000]","(35000,40000]",36299.0
370,Blue Star,1.5,5,Window,Copper,R32A,1867.0,"(1500,2000]","(30000,35000]",32900.0
371,Panasonic,1.5,5,Window,Copper,R32,1870.0,"(1500,2000]","(30000,35000]",34880.0
372,Samsung,1.5,5,Split Inverter,Copper,R32,1984.0,"(1500,2000]","(45000,50000]",46564.0
373,Croma,1.5,5,Window,Copper,R32,2004.0,"(2000,2500]","(25000,30000]",29990.0
374,Daikin,1.5,5,Split Inverter,Copper,R32,2104.0,"(2000,2500]","(50000,55000]",50299.0
375,Whirlpool,1.5,5,Split Inverter,Copper,R32,2120.0,"(2000,2500]","(35000,40000]",36590.0
376,Daikin,1.5,5,Split Inverter,Copper,R32A,2120.0,"(2000,2500]","(45000,50000]",45999.0
377,Daikin,1.5,5,Split Inverter,Copper,R32,2120.0,"(2000,2500]","(45000,50000]",46948.0
378,Blue Star,1.5,5,Split Inverter,Copper,R32,2152.0,"(2000,2500]","(40000,45000]",43950.0
379,Thomson,1.5,5,Split Inverter,Copper,R32,2160.0,"(2000,2500]","(30000,35000]",33999.0
380,Panasonic,1.5,5,Split Inverter,Copper,R32,2160.0,"(2000,2500]","(35000,40000]",36990.0
381,Samsung,1.5,5,Split Inverter,Copper,R32,2160.0,"(2000,2500]","(40000,45000]",44990.0
382,Samsung,1.5,5,Split,Copper,R32,2160.0,"(2000,2500]","(45000,50000]",45200.0
383,Panasonic,1.5,5,Split Inverter,Copper,R32A,2160.0,"(2000,2500]","(45000,50000]",47000.0
384,Panasonic,1.5,5,Split Inverter,Copper,R32,2176.0,"(2000,2500]","(40000,45000]",42990.0
385,Whirlpool,1.5,5,Split Inverter,Copper,R32,2184.0,"(2000,2500]","(35000,40000]",39990.0
386,Croma,1.5,5,Split Inverter,Copper,R32,2184.0,"(2000,2500]","(40000,45000]",41490.0
387,Ifb,1.5,5,Split Dual Inverter,Copper,R32,2192.0,"(2000,2500]","(35000,40000]",37990.0
388,Lloyd,1.5,5,Split Inverter,Copper,R32,2192.0,"(2000,2500]","(40000,45000]",42900.0
389,Blue Star,1.5,5,Split Inverter,Copper,R32,2200.0,"(2000,2500]","(40000,45000]",42790.0
390,Blue Star,1.5,5,Split Inverter,Copper,R32A,2200.0,"(2000,2500]","(40000,45000]",42980.0
391,Midea,1.5,5,Split Inverter,Copper,R32A,2208.0,"(2000,2500]","(35000,40000]",38999.0
392,Godrej,1.5,5,Split Inverter,Copper,R32,2208.0,"(2000,2500]","(35000,40000]",39399.0
393,Samsung,1.5,5,Split Inverter,Copper,R32,2208.0,"(2000,2500]","(35000,40000]",39999.0
394,Samsung,1.5,5,Split Inverter,Copper,R32,2208.0,"(2000,2500]","(40000,45000]",41982.0
395,Carrier,1.5,5,Split Inverter,Copper,R32A,2208.0,"(2000,2500]","(40000,45000]",42999.0
396,Blue Star,1.5,5,Split Inverter,Copper,R32A,2240.0,"(2000,2500]","(45000,50000]",48500.0
397,Daikin,1.5,5,Split Inverter,Copper,R32,2264.0,"(2000,2500]","(45000,50000]",45500.0
398,Lg,1.5,5,Split Inverter,Copper,R410A,2272.0,"(2000,2500]","(45000,50000]",47490.0
399,Croma,1.5,5,Split Inverter,Copper,R32,2280.0,"(2000,2500]","(40000,45000]",40990.0
400,Voltas,1.5,5,Split Inverter,Copper,R32A,2288.0,"(2000,2500]","(35000,40000]",39100.0
401,Haier,1.5,5,Split Inverter,Copper,R32,2304.0,"(2000,2500]","(40000,45000]",40990.0
402,Lg,1.5,5,Split Dual Inverter,Copper,R32,2304.0,"(2000,2500]","(45000,50000]",46500.0
403,Panasonic,1.5,5,Split Inverter,Copper,R32,2304.0,"(2000,2500]","(50000,55000]",51850.0
404,Blue Star,1.5,5,Split Inverter,Copper,R32,2320.0,"(2000,2500]","(45000,50000]",48000.0
405,Voltas,1.5,5,Split Inverter,Copper,R32,2328.0,"(2000,2500]","(40000,45000]",44990.0
406,Blue Star,1.5,5,Split Inverter,Copper,R32A,2330.0,"(2000,2500]","(45000,50000]",46828.0
407,Lg,1.5,5,Split Dual Inverter,Copper,R32,2344.0,"(2000,2500]","(40000,45000]",40590.0
408,Voltas,1.5,5,Window,Copper,R22,2392.0,"(2000,2500]","(30000,35000]",32499.0
409,Carrier,1.5,5,Split Inverter,Copper,R32,2400.0,"(2000,2500]","(40000,45000]",41999.0
410,Croma,1.5,5,Window,Copper,R32A,2416.0,"(2000,2500]","(30000,35000]",33290.0
411,Marq,1.5,5,Window,Copper,R32,2432.0,"(2000,2500]","(25000,30000]",25499.0
412,Voltas,1.5,5,Window,Copper,R32,2440.0,"(2000,2500]","(30000,35000]",34449.0
413,Onida,1.5,5,Split Inverter,Copper,R32A,2440.0,"(2000,2500]","(35000,40000]",36999.0
414,Blue Star,1.5,5,Window,Copper,R22A,2448.0,"(2000,2500]","(30000,35000]",32900.0
415,Carrier,1.5,5,Window,Copper,R32,2480.0,"(2000,2500]","(30000,35000]",30999.0
416,Hitachi,1.5,5,Split Inverter,Copper,R32A,2480.0,"(2000,2500]","(40000,45000]",40999.0
417,Carrier,1.5,5,Window,Copper,R32A,2496.0,"(2000,2500]","(35000,40000]",36990.0
418,Toshiba,1.5,5,Split Inverter,Copper,R32,2512.0,"(2500,3000]","(45000,50000]",49000.0
419,Hitachi,1.5,5,Window,Copper,R32A,2520.0,"(2500,3000]","(30000,35000]",33999.0
420,Carrier,1.5,5,Window,Copper,R32A,2531.0,"(2500,3000]","(35000,40000]",36990.0
421,Voltas,1.5,5,Split Inverter,Copper,R32,2544.0,"(2500,3000]","(35000,40000]",39999.0
422,Croma,1.5,5,Window Inverter,Copper,R32A,2608.0,"(2500,3000]","(35000,40000]",36290.0
423,Daikin,1.5,5,Split Inverter,Copper,R32,2640.0,"(2500,3000]","(40000,45000]",42300.0
424,Panasonic,1.5,5,Split Inverter,Copper,R32,2656.0,"(2500,3000]","(40000,45000]",43844.0
425,Panasonic,1.5,5,Split Inverter,Copper,R32,2656.0,"(2500,3000]","(45000,50000]",46899.0
426,Voltas,1.5,5,Split Inverter,Copper,R32A,2800.0,"(2500,3000]","(35000,40000]",38499.0
427,Croma,1.6,3,Split Inverter,Copper,R32,2688.0,"(2500,3000]","(35000,40000]",36790.0
428,Voltas,1.6,3,Split Inverter,Copper,R32,3008.0,"(3000,3500]","(35000,40000]",36999.0
429,Daikin,1.8,2,Split,Copper,R32A,2968.0,"(2500,3000]","(45000,50000]",45590.0
430,Daikin,1.8,3,Split Inverter,Copper,R32,1203.0,"(1000,1500]","(45000,50000]",48999.0
431,Hitachi,1.8,3,Split Inverter,Copper,R32A,1236.0,"(1000,1500]","(40000,45000]",44999.0
432,Daikin,1.8,3,Split Inverter,Copper,R32,2201.0,"(2000,2500]","(50000,55000]",50887.0
433,Daikin,1.8,3,Split Inverter,Copper,R32,3200.0,"(3000,3500]","(50000,55000]",52382.0
434,Daikin,1.8,4,Split Inverter,Copper,R32,3024.0,"(3000,3500]","(50000,55000]",50990.0
435,Daikin,1.8,4,Split Inverter,Copper,R32,3120.0,"(3000,3500]","(50000,55000]",50990.0
436,Daikin,1.8,4,Split Inverter,Copper,R32A,3120.0,"(3000,3500]","(50000,55000]",50990.0
437,Hitachi,2.0,2,Window,Copper,R32A,2725.0,"(2500,3000]","(40000,45000]",40852.0
438,Hitachi,2.0,2,Window Inverter,Copper,R32A,2774.0,"(2500,3000]","(30000,35000]",34490.0
439,Hitachi,2.0,2,Window,Copper,R32A,2774.0,"(2500,3000]","(35000,40000]",38426.0
440,Ifb,2.0,3,Split Inverter,Copper,R32A,1234.0,"(1000,1500]","(45000,50000]",45490.0
441,Lloyd,2.0,3,Split Inverter,Copper,R32,1264.0,"(1000,1500]","(45000,50000]",47990.0
442,Hitachi,2.0,3,Split Inverter,Copper,R32A,1282.0,"(1000,1500]","(50000,55000]",50599.0
443,Lloyd,2.0,3,Split,Copper,R32A,1386.0,"(1000,1500]","(45000,50000]",46999.0
444,Lloyd,2.0,3,Split,Copper,R32,1386.0,"(1000,1500]","(45000,50000]",47943.0
445,Motorola,2.0,3,Split Dual Inverter Smart,Copper,R32A,2115.0,"(2000,2500]","(35000,40000]",39990.0
446,Godrej,2.0,3,Window,Copper,R32A,2600.0,"(2500,3000]","(30000,35000]",31990.0
447,Panasonic,2.0,3,Split,Copper,R22A,2736.0,"(2500,3000]","(45000,50000]",47500.0
448,Carrier,2.0,3,Window,Copper,R32,3080.0,"(3000,3500]","(35000,40000]",38990.0
449,Voltas,2.0,3,Split,Copper,R32,3099.0,"(3000,3500]","(40000,45000]",42999.0
450,Croma,2.0,3,Split Inverter,Copper,R32,3152.0,"(3000,3500]","(45000,50000]",46490.0
451,Carrier,2.0,3,Split Inverter,Copper,R32,3176.0,"(3000,3500]","(40000,45000]",44499.0
452,Voltas,2.0,3,Split Inverter,Copper,R32,3200.0,"(3000,3500]","(45000,50000]",48990.0
453,Voltas,2.0,3,Split Inverter,Copper,R410A,3200.0,"(3000,3500]","(45000,50000]",49999.0
454,Blue Star,2.0,3,Window,Copper,R32A,3226.0,"(3000,3500]","(40000,45000]",40150.0
455,Blue Star,2.0,3,Split,Copper,R32A,3306.0,"(3000,3500]","(50000,55000]",50299.0
456,Hitachi,2.0,3,Split Inverter,Copper,R32A,3344.0,"(3000,3500]","(45000,50000]",47490.0
457,Lg,2.0,3,Split Dual Inverter,Copper,R32,3344.0,"(3000,3500]","(45000,50000]",48990.0
458,Haier,2.0,3,Split Inverter,Copper,R410A,3360.0,"(3000,3500]","(40000,45000]",44990.0
459,Blue Star,2.0,3,Window,Copper,R32A,3373.0,"(3000,3500]","(30000,35000]",34990.0
460,Lloyd,2.0,3,Split Inverter,Copper,R32,3472.0,"(3000,3500]","(45000,50000]",48900.0
461,Hitachi,2.0,3,Split Inverter,Copper,R410A,3760.0,"(3500,4000]","(45000,50000]",49500.0
462,Hitachi,2.0,3,Split Inverter,Copper,R32A,3872.0,"(3500,4000]","(50000,55000]",51399.0
463,Samsung,2.0,4,Split Inverter,Copper,R32A,2912.0,"(2500,3000]","(45000,50000]",46994.0
464,Samsung,2.0,4,Split Inverter,Copper,R32,2912.0,"(2500,3000]","(45000,50000]",48690.0
465,Lg,2.0,5,Window Dual Inverter,Copper,R32,2193.0,"(2000,2500]","(45000,50000]",48490.0
466,Carrier,2.0,5,Split Inverter,Copper,R32,2848.0,"(2500,3000]","(50000,55000]",51999.0
